company,date_posted,title,site,location,is_remote,termino_de_busqueda,description,job_url,company_industry
CDH Empresarial,2026-07-28,Sociólogo,indeed,"Piura, PIU, PE",False,Sociologia,"Estoy en búsqueda de Sociólogo o Especialista en Asuntos Sociales que brinde capacitaciones en Piura, con experiencia en gestión social minera, formulación y gestión de proyectos de desarrollo comunitario.

**Requisitos:**

* Titulado
* Experiencia en manejo de grupo
* Experiencia capacitando
* Residir en Piura

Enviar currículum a: seleccion.empresarial@cdh\-peru.com  
O al: \+51 977538263

Lugar de trabajo: Empleo presencial",https://pe.indeed.com/viewjob?jk=6f9b4a70148f6a96,
Acciona,2026-07-27,ANALISTA PREDIAL,indeed,"Lima, LIM, PE",False,Sociologia,"**Somos una compañía internacional formada por más de 65\.000 empleados y presente en más de 40 países de los cinco continentes. Líderes en innovación y desarrollo tecnológico, buscamos expertos en impulsar el desarrollo sostenible y encontrar soluciones a los mayores retos mundiales, como el calentamiento global, la superpoblación y la escasez hídrica.**

**Descripción del puesto**

**Misión:**


Realizar el seguimiento, supervisión y control de la gestión predial de los proyectos a su cargo, asegurando el cumplimiento de los objetivos de plazo, costo, calidad y gestión social, mediante la coordinación con consultoras externas, autoridades y grupos de interés, contribuyendo al desarrollo oportuno y sostenible de los proyectos.

**Requisitos del candidato**

**Acciona Transmisión Perú S.A.,** se encuentra en la búsqueda de un(a) Analista Predial que contribuya en la gestión predial de nuestros proyectos de transmisión eléctrica, asegurando el cumplimiento de los plazos y estándares de calidad de la organización, con capacidad de organización, seguimiento y coordinación, interesados en desarrollar su experiencia en proyectos de infraestructura y gestión territorial.

**Funciones:**

* Encargarse de la supervisión y monitoreo de la gestión predial del proyecto en el que participa.
* Realizar el seguimiento a las actividades de gestión predial ejecutadas por la consultora.
* cargo del proyecto velando por el cumplimiento de los objetivos de plazo y costo.
* Supervisar el avance y cumplimiento de las actividades realizadas por las consultoras externas, asegurando calidad, plazos y presupuesto
* Participar en procesos de negociación predial y reuniones con diversos actores.
* Contribuir al desarrollo e implementación de la estrategia de gestión social – predial del proyecto en colaboración con el coordinador de sostenibilidad.
* Participar en reuniones de seguimiento estratégicas de la gestión de permisos de los proyectos en los que participa.
* Elaborar reportes diarios, semanales y mensuales de avance predial, usando herramientas
* avanzadas de análisis y visualización (Excel, Power BI).
* Diseñar, revisar procesos internos de la gestión predial (flujos, formatos, matrices)
* Generar mapas, polígonos, capas temáticas y análisis espaciales para decisiones de la gerencia.
* Reportar los avances de la gestión predial de los proyectos en los que participa.
* Identificar, analizar y reportar riesgos e incidencias asociados a la gestión predial, proponiendo medidas de mitigación y planes de acción oportunos.
* Realizar el seguimiento al cumplimiento de los compromisos asumidos con propietarios, comunidades, autoridades y demás grupos de interés vinculados a la gestión predial.
* Administrar y mantener actualizada la información predial y documental de los proyectos,
* asegurando la trazabilidad y disponibilidad de la información.
* Coordinar con las áreas técnicas, legales, ambientales y de sostenibilidad para garantizar la adecuada ejecución de la gestión predial del proyecto.
* Elaborar indicadores de gestión (KPI) y cuadros de control que permitan monitorear el desempeño y avance de la gestión predial.
* Apoyar en la elaboración de presupuestos, cronogramas y proyecciones relacionados con la gestión predial de los proyectos.
* Demás funciones asignadas por el jefe directo.

**Perfil**

**Formación académica / Titulación:**

* Derecho, antropología, sociología, ingeniería industrial, ingeniería geógrafa o carreras afines relacionadas con la gestión territorial, social y predial.
* Se valorarán estudios de especialización o diplomados en gestión predial, gestión social, catastro, SIG o gestión de proyectos.

**Experiencia:**

* Es necesaria la experiencia mínima de 4 años en la gestión predial de proyectos lineales.
* Experiencia en procesos de negociación, saneamiento físico\-legal, servidumbres y relacionamiento con propietarios y grupos de interés.
* Experiencia en supervisión y seguimiento de consultoras externas y contratistas.
* Se valorará experiencia en proyectos de infraestructura energética, especialmente líneas de transmisión y subestaciones eléctricas.

**Idiomas y nivel requerido**

* Nivel alto de español.
* Nivel intermedio\-avanzado de inglés (mínimo B2\), deseable para la elaboración y revisión de documentación técnica y coordinación con equipos internacionales.

**Conocimientos complementarios**

* Dominio avanzado de Excel (tablas dinámicas, dashboards).
* Manejo de Power BI para reportes dinámicos, tableros ejecutivos y análisis predial.
* Manejo de QGIS y/o Autocad y/o ArcGis para elaboración de mapas y análisis espacial.
* Conocimiento de normativa predial, servidumbres, adquisición de derechos superficiales y permisos aplicables a proyectos de infraestructura.
* Conocimiento en interpretación de planos, cartografía y sistemas de información geográfica (SIG).
* Alto nivel de gestión.
* Capacidad de análisis, negociación, planificación y resolución de conflictos.
* Manejo de indicadores (KPI) y herramientas de seguimiento y control de proyectos.
* Se valorará el conocimiento especifico en proyectos de líneas de transmisión.

**Disponibilidad para viajar** – SI

* Disponibilidad para realizar viajes frecuentes a campo y supervisar actividades prediales en las zonas de influencia de los proyectos.


ACCIONA ha recibido la certificación Top Employer 2024 y 2025\. Este sello reconoce a la Compañía como una de las mejores empresas para trabajar por su compromiso en situar la gestión de las personas como eje central de su estrategia. Somos una compañía con igualdad de oportunidades y estamos comprometidos con la diversidad. ACCIONA está alineada con la ley Nº 27278 y prohíbe la discriminación basada en el género, raza, religión o idioma.",https://pe.indeed.com/viewjob?jk=c06ca0fc0b2a3d7c,Energy And Utilities
Acciona,2026-07-27,ASISTENTE PREDIAL,indeed,"Lima, LIM, PE",False,Sociologia,"**Somos una compañía internacional formada por más de 65\.000 empleados y presente en más de 40 países de los cinco continentes. Líderes en innovación y desarrollo tecnológico, buscamos expertos en impulsar el desarrollo sostenible y encontrar soluciones a los mayores retos mundiales, como el calentamiento global, la superpoblación y la escasez hídrica.**

**Descripción del puesto**

**Misión:**


Brindar soporte operativo, administrativo y de seguimiento a la gestión predial de los proyectos en los que participa, contribuyendo al cumplimiento de los objetivos de plazo, costo, calidad y gestión social, mediante la coordinación con consultoras externas, propietarios, entidades y áreas internas de la organización.

**Requisitos del candidato**

**Acciona Transmisión Perú S.A.**, se encuentra en la búsqueda de un(a) Asistente Predial para brindar soporte en la gestión predial de nuestros proyectos de transmisión. Buscamos profesionales con capacidad de organización, seguimiento y coordinación, interesados en desarrollar su experiencia en proyectos de infraestructura y gestión territorial.

**Funciones:**

* Apoyar en el seguimiento a las actividades de gestión predial ejecutadas por la consultora a cargo del proyecto con especial énfasis en el cumplimiento de los objetivos de plazo y costo.
* Apoyar en la supervisión y control del avance de las actividades prediales desarrolladas por las consultoras externas, verificando el cumplimiento de cronogramas y entregables.
* Apoyar en la implementación de la estrategia de gestión social – predial del proyecto en colaboración con el coordinador de sostenibilidad.
* Participar en reuniones de seguimiento estratégicas de la gestión de permisos de los proyectos en los que participa.
* Realizar seguimiento y control de los acuerdos suscritos con titulares de predios sirvientes.
* Realizar coordinaciones con notarias y la consultora predial para la formalización de los acuerdos prediales.
* Mantener actualizada la base de datos, matrices de seguimiento y el archivo documental de la gestión predial de los proyectos.
* Apoyar en el seguimiento de compromisos asumidos con propietarios, autoridades, comunidades y demás grupos de interés vinculados a la gestión predial.
* Realizar el control y seguimiento de expedientes, contratos, servidumbres, permisos y demás documentación asociada a la gestión predial.
* Apoyar en la elaboración de reportes, presentaciones ejecutivas e indicadores de gestión predial utilizando herramientas como Excel y Power BI.
* Apoyar en la elaboración y actualización de mapas, planos y registros georreferenciados mediante herramientas SIG, cuando corresponda.
* Elaborar reportes de la gestión en la que participa.
* Reportar los avances de la gestión predial de los proyectos en los que participa.
* Identificar y reportar oportunamente desviaciones, riesgos e incidencias relacionadas con la gestión predial, proponiendo acciones de seguimiento.
* Demás funciones asignadas por el jefe directo.

**Perfil requerido**
====================

**Formación académica / Titulación:**
-------------------------------------

* Grado de bachiller en derecho, antropología, sociología, ingeniería industrial, ingeniería geógrafa o carreras afines relacionadas con la gestión territorial, social y predial.
* Se valorarán estudios complementarios o especializaciones en gestión predial, gestión social, catastro o sistemas de información geográfica (SIG).

**Experiencia:**
----------------

* Es necesaria la experiencia mínima de 2 años en la gestión predial de proyectos de inversión público\-privada, preferentemente en proyectos de infraestructura o proyectos lineales.
* De preferencia, experiencia en procesos de negociación, servidumbres, seguimiento documental y relacionamiento con propietarios y grupos de interés.

**Idiomas y nivel requerido**
-----------------------------

* Nivel alto de español.
* Nivel intermedio\-avanzado de inglés (mínimo B2\).

**Conocimientos complementarios**
---------------------------------

* Dominio avanzado de Excel (tablas dinámicas, dashboards)
* Manejo de Power BI para reportes dinámicos, tableros ejecutivos y análisis predial (deseable).
* Conocimiento de herramientas SIG, tales como QGIS, ArcGIS y/o AutoCAD (deseable).
* Conocimiento básico de normativa predial, servidumbres y permisos aplicables a proyectos de infraestructura.
* Capacidad de organización, seguimiento y control de expedientes y documentación predial.
* Habilidades de comunicación, negociación y coordinación con actores internos y externos.
* Se valorará el conocimiento especifico en proyectos de líneas de Transmisión.

**Disponibilidad para viajar** – SI


ACCIONA ha recibido la certificación Top Employer 2024 y 2025\. Este sello reconoce a la Compañía como una de las mejores empresas para trabajar por su compromiso en situar la gestión de las personas como eje central de su estrategia. Somos una compañía con igualdad de oportunidades y estamos comprometidos con la diversidad. ACCIONA está alineada con la ley Nº 27278 y prohíbe la discriminación basada en el género, raza, religión o idioma.",https://pe.indeed.com/viewjob?jk=5040e485810dd595,Energy And Utilities
AliCorp,2026-07-25,SERVICE DESIGNER,indeed,"Lima, LIM, PE",False,Sociologia,"**Fecha:** 24 jul 2026


**Ubicación:** LIMA, Peru


**Empresa:** Alicorp S.A.A.


**¿Cuál será tu desafío?**

Diseñar, potenciar y evolucionar servicios centrados en las personas, asegurando que sean útiles, efectivos, deseables, viables para el negocio y factibles para la organización. El Service Designer comprende las necesidades de clientes y usuarios a partir de investigación, evidencia, datos e insights, y traduce ese conocimiento en oportunidades, soluciones y experiencias integrales que generen valor para las personas y para la compañía.

Su misión es orquestar la experiencia end\-to\-end del servicio, conectando lo que el cliente percibe con los procesos, capacidades, equipos y decisiones internas que hacen posible dicha experiencia, contribuyendo a la mejora continua, innovación y transformación de los servicios.**¿Qué harás en tu rol?**
* Investiga necesidades, comportamientos, expectativas y fricciones de clientes, usuarios y stakeholders internos.
* Analiza información cualitativa y cuantitativa proveniente de research, data, negocio, canales, operación y feedback de clientes.
* Construye journeys, blueprints de servicio, ecosistemas, procesos y puntos de contacto de la experiencia.
* Identifica pain points, necesidades no resueltas y oportunidades de innovación o mejora continua.
* Traduce insights de usuarios, clientes y negocio en oportunidades de diseño accionables.
* Diseña propuestas de valor, conceptos de servicio, flujos, interacciones, procesos y experiencias integrales.
* Conecta la experiencia visible del cliente con los procesos, capacidades, sistemas, equipos y decisiones internas que la habilitan.
* Facilita sesiones de co\-creación, workshops y dinámicas de alineamiento con equipos multidisciplinarios.
* Prototipa soluciones, experiencias, procesos o interacciones de servicio en distintos niveles de fidelidad.
* Define principios, lineamientos y criterios de diseño para la experiencia del servicio.
* Colabora con equipos de producto, UX, tecnología, canales, negocio y operaciones durante el diseño e implementación de soluciones.
* Comunica hallazgos, oportunidades, propuestas y recomendaciones de manera clara y accionable.
* Acompaña la evolución de servicios existentes, identificando mejoras en experiencia, procesos y entrega del servicio.
**¿Qué necesitamos de ti?**
* Profesional de la carrera de Ingeniería Industrial, Diseño Industrial, Letras y Ciencias Humanas (Psicología, Antropología, Sociología y afines).
* Contar con curso, especialización y/o diplomado en Service Design.
* Deseable contar con curso, especialización y/o diplomado en Research, Behavioral Design, Business Intelligence.
* Contar con experiencia mínima de 02 años en el rol de Service Design o realizando funciones similares.
* Contar con experiencia en diseño de experiencias en productos digitales.
* Deseable el manejo de herramientas de análisis de información cualitativa a nivel intermedio (ejemplo: Condens u otros)
* Manejo de Figma y Miro nivel intermedio.
* Manejo de inglés nivel intermedio.",https://pe.indeed.com/viewjob?jk=30c6bea2e225e1c2,
Golder Associates,2026-07-24,Especialista Social Intermedio - Minería,indeed,"Lima, LIM, PE",False,Sociologia,"**Especialista Social Intermedio \- Minería**


 \- (26001023\) **En WSP Perú, nos mueven los desafíos.**


WSP Perú es mucho más que un lugar de trabajo, somos una empresa multinacional, líder en servicios de ingeniería, con un ambiente dinámico, donde a través de la innovación y la colaboración, construimos relaciones duraderas que posibilitan el crecimiento profesional en un ambiente de corresponsabilidad.


WSP Perú además valoramos la diversidad e inclusión de personas en situación de discapacidad (Ley 29973\), y por ello estamos comprometidos con la equidad y con entregar igualdad de oportunidades a todos nuestros candidatos(as). Por lo cual, te invitamos a participar en nuestra búsqueda de un(a) **Especialista Social Intermedio \- Minería.**

 **Principales funciones del cargo:**

* Redactar proyectos de informes, memorandos técnicos, documentos varios, capítulos relacionados con los aspectos socioeconómicos (línea base, identificación y evaluación de impactos al medio social, plan de gestión social y valoración económica del impacto ambiental) y de participación ciudadana que se le encarguen.
* Revisar, procesar, sistematizar y analizar información relacionada a la elaboración de la línea base socioeconómica de los proyectos en los que participe el equipo de socioeconomía.
* Coordinar las actividades previas para las salidas de campo en el marco de la elaboración de líneas base u otros estudios sociales específicos.
* Realizar el recojo de información en trabajo de campo, liderando de ser el caso el equipo destacado.
* Colaborar en el diseño de propuestas técnicas y económicas para servicios en los que se considere aspectos socioeconómicos.
* Participar en reuniones técnicas con los clientes y con la autoridad ambiental.
* Cumplir con las políticas y procedimientos internos del Sistema Integrado de Gestión de Calidad, Medio Ambiente y de Seguridad y Salud en el Trabajo en las actividades que desempeña, entre otros.

 **Antecedentes profesionales:**

* Bachiller de la carrera de Antropología, Sociología, Economía o carreras afines.
* Tener una experiencia mínima de 03 años en general.
* Deseable contar con experiencia en empresas consultoras.
* Deseable con participación en la elaboración de estudios de línea base socioeconómica o estudios sociales en relación a instrumentos de gestión ambiental, mecanismos de participación ciudadana en el marco de procesos de certificación ambiental y en el diseño o ejecución de planes de gestión social.
* Deseable con conocimiento de inglés básico o intermedio.
  

\#Perú


\#LI\-VE1


\#LI\-Hybrid

  

**Primary Location** PE\-LIM\-Lima**Schedule** Full\-time**Employee Status** Temporary**Experience (Minimum Yrs.)** 3**Job Posting** Jul 24, 2026, 3:12:54 PM",https://pe.indeed.com/viewjob?jk=cef67bc069fd8396,Consulting And Business Services
Apoyo Comunicación S.A.C.,2026-07-24,Practicante de Asuntos Públicos,indeed,"San Isidro, LIM, PE",False,Sociologia,"\#ChambaSiHay

¡Te estamos buscando!

En APOYO Comunicación buscamos al mejor talento para el puesto de Practicante de Asuntos Públicos

Requisitos:

· Estudiante de los últimos ciclos o egresado de la carrera de Ciencia Política, sociología, Derecho, Ciencias de la Comunicación o afines.

· Conocimientos básicos sobre el sistema político y legislativo peruana.

· Excelente redacción y ortografía para la elaboración de informes políticos.

· Interés por la coyuntura nacional e internacional.

· Capacidad de análisis de medios.

· Enfoque creativo para proponer ideas y soluciones.

· Capacidad de trabajar en equipo y adaptarse a entornos dinámicos.

· Manejo de Microsoft Excel y Word a nivel intermedio.

· Inglés intermedio.

· Conocimiento y uso de herramientas de IA para optimizar sus labores.

· Compartir nuestros valores: que crea en las empresas con propósito y tenga pasión por promoverlas, así como tatuados los principios de equidad e inclusión.

Funciones:

* Apoyar en el monitoreo diario del entorno político, regulatorio y de medios.
* Monitoreo de páginas web públicas (Seace, Congreso, Contraloría, Defensoría, TC, MML, agendas de entidades públicas, etc).
* Monitoreo de encuestas (IPSOS, Datum, IEP).
* Asistir en la elaboración de informes de coyuntura, reportes ad hoc.
* Elaboración de perfiles, ayudas memoria y resúmenes.
* Asistir en la investigación de temas específicos.
* Asistir en la elaboración de mapeo de stakeholders y presentaciones.
* Apoyar en la organización de reuniones con autoridades.
* Participar en reuniones internas del equipo y contribuir con ideas.

Sueldo: S/.1,130\.00 \- S/.1,430\.00 al mes

Lugar de trabajo: Híbrido en San Isidro, Lima",https://pe.indeed.com/viewjob?jk=db49d0e47bd2e5df,
ENGIE,2026-07-22,COORDINADOR/A SOCIAL,indeed,"Chorrillos, LIM, PE",False,Sociologia,"En **ENGIE Energía Perú**, aceleramos la transición hacia una economía carbono neutral. Somos la empresa de generación de energía más diversificada del país, con el respaldo del Grupo ENGIE, el mayor productor independiente de energía con 96 mil **Transition Makers** en 31 países, de tanto en matriz energética como en ubicación geográfica y la \#1 del sector energía para atraer y retener talento y formando parte del ranking MERCO Top 50 general del Perú. Además, contamos con la certificación EDGE que refleja nuestro compromiso con la equidad de género y diversidad en el trabajo.

  




En ENGIE valoramos:


* **Evolución profesional:** Autogestiona tu carrera en un entorno dinámico con oportunidades constantes de crecimiento, capacitación continua y desarrollo.
* **Bienestar y equilibrio:** Impulsamos una cultura de bienestar, cuidado y equilibrio vida–trabajo, promoviendo entornos laborales que priorizan la salud mental, la seguridad y el desarrollo sostenible de las personas.
* **Diversidad, equidad e inclusión:** Promovemos procesos libres de sesgos y un entorno laboral seguro, de confianza y respeto, donde puedes ser tú mismo y desempeñarte con tu máximo potencial, sin importar tu origen, género, generación, discapacidad u orientación sexual.
  


**Coordinador/a Social – Aguaytia (Pucallpa)**


**(Plazo fijo)**

  


**Tus principales responsabilidades serán:**

* Gestionar el relacionamiento y participar activamente en el proceso de obtención de derechos superficiales (servidumbres, compra, etc) sobre predios deinterés con propietarios de predios de las áreas de interés del proyecto.
* Identificación de grupos de interés y su posición respecto de los proyectos y la empresa.
* Elaborar el informe de diagnóstico social territorial.
* Identificación de los diferentes usos del territorio ya sean culturales, ancestrales, comerciales u otros.
* Identificación temprana de riesgos sociales asociados al acceso al territorio y a la negociación de tierras.
* Gestiona la información de levantamiento de línea de base social para los Instrumentos de Gestion Ambiental y otros permisos que requiere la organización para los proyectos.

  


**¿Qué necesitamos de ti?**

* Carrera universitaria: Antropología, Sociología, Economía para el desarrollo y afines.
* Experiencia en relacionamiento comunitario y gestión predial
* Manejo de la regulación asociada a la ley de comunidades campesinas, consulta previa.
* Conocimiento de los estándares deOIT y OCDE para derechos humanos
* MS Office a nivel usuario
* Manejo de software especializado (Arc Gis, QGis, Autocad, similares)
* MS Project deseable

**Los beneficios que te ofrecemos:**

* Prima seguro médico cubierto al 100%
* Prima seguro oncológico cubierto al 100%
* Bono por desempeño
* Bono por seguridad y salud Ocupacional
* Capacitación y entrenamientos

  


***En ENGIE,*** *cada persona desempeña un papel clave en la aceleración de la transición energética. Marca la diferencia y vive una experiencia profesional con propósito. Asume retos apasionantes, crece en un entorno innovador y construye una carrera que refleje quién eres realmente.* ***¡Únete a nosotros y sé parte de la aventura del siglo!***


Business Unit: GBU Networks
Division: Power Networks Peru
Legal Entity: ENGIE ENERGIA PERU S.A.
Company Name: ENGIE Perú
Minimum Base Salary:
Maximum Base Salary:
Pay Basis:
### **Why this matters to us**


Our organisation is an equal opportunity employer and is committed to fostering a diverse and inclusive workplace. We offer reasonable accommodations upon request for individuals with disabilities.",https://pe.indeed.com/viewjob?jk=8e15d89de8ad7280,
Camposol S.A,2026-07-22,Analista de Sostenibilidad H/F,indeed,"Chao, LLI, PE",False,Sociologia,"### **Descripción**


**Llevamos lo mejor del campo al mundo. ¡Súmate a una de las empresas agroindustriales más grandes!**


Somos una multinacional peruana líder en la industria de la agroexportación, con presencia en Perú, Colombia, Chile y Uruguay, y oficinas comerciales en Estados Unidos, Europa y Asia. Nuestros productos llegan a más de 40 países, destacándonos por ofrecer frutas de la más alta calidad, como paltas, arándanos, uvas, mangos, mandarinas, cerezas, entre otras.


Comprometidos con la excelencia en el cultivo, procesamiento y comercialización de productos agrícolas, seguimos creciendo y buscamos incorporar al mejor talento a nuestro equipo.


¡Sé parte de nuestra historia!


Actualmente, estamos en búsqueda de un(a): **Analista de Sostenibilidad \- Chao**

**Tu impacto en nuestro equipo:**


Contribuir a la implementación de la estrategia ESG de Camposol, generando análisis, propuestas y recomendaciones que fortalezcan la toma de decisiones del negocio, articulando iniciativas con las distintas áreas y asegurando el cumplimiento de los compromisos de sostenibilidad corporativa.


### **Responsabilidades**


* Implementar la estrategia ESG corporativa en coordinación con las distintas áreas de la organización.
* Gestionar, analizar e interpretar indicadores ESG para identificar riesgos, oportunidades y apoyar la toma de decisiones.
* Elaborar y consolidar reportes de sostenibilidad bajo estándares internacionales como GRI y NIIF S1/S2\.
* Participar en procesos de análisis de materialidad, benchmarking ESG y evaluación de tendencias regulatorias y de mercado.
* Coordinar y dar seguimiento a iniciativas estratégicas de sostenibilidad relacionadas con cambio climático, biodiversidad, agua y otros criterios ESG, articulando a las áreas responsables.
* Acompañar auditorías, certificaciones y requerimientos ESG de clientes, inversionistas y organismos externos.
* Preparar análisis, presentaciones ejecutivas y recomendaciones para facilitar la gestión y seguimiento de la estrategia ESG.
* Participar en mesas de trabajo con áreas operativas para incorporar criterios ESG en la toma de decisiones del negocio.


### **Requisitos**


* Profesional en Ingeniería Industrial, Administración, Economía, Gestión, Ingeniería Ambiental, Sociología, Ciencias Políticas, Comunicaciones para el Desarrollo o carreras afines.
* Experiencia mínima de 3 años en sostenibilidad corporativa, ESG, consultoría en sostenibilidad o funciones afines dentro de empresas de sectores productivos.
* Experiencia gestionando indicadores ESG y elaborando reportes bajo estándares como GRI. Deseable conocimiento en NIIF S1/S2\.
* Experiencia participando en proyectos de sostenibilidad, estrategia ESG, análisis de materialidad, gestión de riesgos o relacionamiento con stakeholders.
* Capacidad para coordinar transversalmente con diferentes áreas y generar recomendaciones para la toma de decisiones.
* **Modalidad:** Trabajo 100% presencial.
* **Ubicación:** Chao, La Libertad.


✨ Postula con nosotros y da el primer paso hacia una carrera llena de oportunidades y desafíos, para que juntos **trabajemos el campo para mejorar vidas**


En Camposol promovemos la **inclusión de personas con discapacidad y la equidad de género**, con igualdad de condiciones y beneficios para mujeres y hombres.",https://pe.indeed.com/viewjob?jk=bbb01d499f332cd7,
GRUPO ALDESA,2026-07-21,Asistente Social Comunitario - Tacna,indeed,"San Pedro de Tacna, TAC, PE",False,Sociologia,"* Otros
* Tiempo completo
* Tacna, Tacna, Perú
* Proyectos
¿Te apasiona la construcción? ¡Únete a Aldesa y crece con nosotros!


Ubicación: Corredor Vial 42 \- Tacna / Candarave


Posición: Asistente Social Comunitario


En Aldesa, cada día tendrás la oportunidad para aprender, innovar y superar retos. Estamos buscando un/a Asistente Social Comunitario para colaborar con nosotros en el Corredor Vial 42\. Si tienes experiencia en proyectos de obras viales o movimiento de tierras ¡queremos conocerte!


Tus responsabilidades:


* Generar reuniones informativas con comunidades y grupos de interés.
* Participar en negociaciones y acuerdos comunitarios.
* Elaborar informes mensuales de gestión social.
* Realizar seguimiento a compromisos sociales del proyecto.
* Mantener una comunicación efectiva con actores de la zona de influencia.
* Gestionar y actualizar reportes e indicadores en Excel.

Requisitos:


* Egresado(a), Bachiller o Licenciado(a) en Comunicación Social, Sociología, Antropología o carreras afines.
* Experiencia mínima de 2 años en funciones similares vinculadas a gestión social, relacionamiento comunitario o trabajo con grupos de interés.
* Experiencia en proyectos de obras viales o construcción de carreteras.
* Manejo de reuniones informativas y coordinación con comunidades.
* Manejo de Excel a nivel intermedio

¿Qué te ofrecemos?:


* Salario competitivo acorde al mercado.
* Ingreso a planilla con todos los beneficios de ley.
* Alimentación y alojamiento cubiertos en obra.
* EPS cubierta al 100% para titular y derechohabientes.
* Formación constante mediante planes adaptados a tu rol.
* Oportunidades de desarrollo y crecimiento profesional.
* Excelente clima laboral y participación en proyectos de gran envergadura.",https://pe.indeed.com/viewjob?jk=19e2df9bb91b5142,
GRUPO ALDESA,2026-07-21,Asistente Social Comunitario - Moquegua,indeed,"Moquegua, MOQ, PE",False,Sociologia,"* Otros
* Tiempo completo
* Moquegua, Moquegua, Perú
* Proyectos
¿Te apasiona la construcción? ¡Únete a Aldesa y crece con nosotros!


Ubicación: Corredor Vial 41 B \- Moquegua / Matalaque


Posición: Asistente Social Comunitario


En Aldesa, cada día tendrás la oportunidad para aprender, innovar y superar retos. Estamos buscando un/a Asistente Social Comunitario para colaborar con nosotros en el Corredor Vial 41B. Si tienes experiencia en proyectos de obras viales o movimiento de tierras ¡queremos conocerte!


Tus responsabilidades:


* Generar reuniones informativas con comunidades y grupos de interés.
* Participar en negociaciones y acuerdos comunitarios.
* Elaborar informes mensuales de gestión social.
* Realizar seguimiento a compromisos sociales del proyecto.
* Mantener una comunicación efectiva con actores de la zona de influencia.
* Gestionar y actualizar reportes e indicadores en Excel.

Requisitos:


* Egresado(a), Bachiller o Licenciado(a) en Comunicación Social, Sociología, Antropología o carreras afines.
* Experiencia mínima de 2 años en funciones similares vinculadas a gestión social, relacionamiento comunitario o trabajo con grupos de interés.
* Experiencia en proyectos de obras viales o construcción de carreteras.
* Manejo de reuniones informativas y coordinación con comunidades.
* Manejo de Excel a nivel intermedio

¿Qué te ofrecemos?:


* Salario competitivo acorde al mercado.
* Ingreso a planilla con todos los beneficios de ley.
* Alimentación y alojamiento cubiertos en obra.
* EPS cubierta al 100% para titular y derechohabientes.
* Formación constante mediante planes adaptados a tu rol.
* Oportunidades de desarrollo y crecimiento profesional.
* Excelente clima laboral y participación en proyectos de gran envergadura.",https://pe.indeed.com/viewjob?jk=234244862e187d2d,
